tic,Prot,Teff,Mass,logg,LPH
25155612,8.078024806246637,4241.0,,,0.19876615938794323
38461205,35.995205390695865,3673.0,0.53016,4.70823,0.4825045981365377
38461375,7.057560628580866,3602.0,0.544927,4.69426,0.06694320696615513
38507842,7.723481162241068,4137.3,,,0.12550990324795835
38510224,9.837096060203631,4356.0,0.68,4.60376,0.1676884488039017
38510271,2.9310126515495245,3578.0,0.528984,4.70932,0.10635668323125107
38586374,32.581666764412645,4457.0,0.7,4.55234,0.08725543155646641
38678931,7.76862624454637,4396.0,0.69,4.34624,0.2014383579663207
55498515,11.976157626972492,3416.0,0.40365,4.81675,0.256266787399128
55604374,6.919292564453856,3849.0,0.591651,4.64751,0.1483329351367461
55745883,7.209691652823921,3418.0,0.389239,4.82848,0.05854391794382072
141526439,15.630802993641328,3624.0,0.542123,4.69694,0.5845960900833694
141527965,4.7475196335637815,4280.0,0.67,4.65749,0.2159461168782772
149497763,9.224421346262412,3736.0,0.552728,4.68672,0.11864301628096767
150189995,2.9310126515495245,4380.0,0.68,4.6595,0.23789325519701474
150437065,11.623357603146706,4013.0,0.63,4.60208,0.12310597385250958
167795767,6.230443998340193,4165.0,,,0.27008140398994906
176872276,5.095760488708701,4290.0,0.67,4.82657,0.7342551111516246
177284607,11.428718370705614,4466.0,0.7,4.62836,0.2993469890117909
220428553,11.400340645584945,3732.0,,,0.08644788304122493
281631603,10.25454075605434,3837.0,0.599908,4.63885,0.43670479176923455
294750180,0.5255356102286229,3590.0,,,0.8003285004662309
295072161,6.4369054653736075,4470.0,0.7,4.58664,0.06381995014761507
340007359,14.286632721287866,3920.0,0.579062,4.66049,0.3665684971383922
348896748,5.0993620634265,4265.0,0.67,4.68594,0.1269889344536311
348898540,6.820246513455117,4442.0,0.7,4.48529,0.5796151776730811
349194688,6.69369608173888,4420.3,0.69,4.47559,0.050425940743208775
370235284,6.890969982634584,4255.0,0.67,4.78162,0.12659210684164604
382517990,9.819881924558985,4405.0,,,0.4678446226974067
